"Lines","RelativePath"
"21","ui\theme\Color.kt"
"21","ui\features\documentViewing\components\PdfLoadingView.kt"
"18","ui\features\search\SearchEvents.kt"
"18","ui\features\trending\TrendingNotesUiState.kt"
"17","ui\common\utils\DocumentTypeUtils.kt"
"17","core\config\DeveloperConfig.kt"
"17","data\repository\ContributorStatsRepository.kt"
"17","domain\model\UpdatePageModel.kt"
"15","core\widget\WidgetActions.kt"
"9","core\widget\WidgetDestinations.kt"
"9","core\widget\ContinueLearningWidgetReceiver.kt"
"9","core\widget\QuickActionsWidgetReceiver.kt"
"8","ui\features\document\DocumentPreviewSection.kt"
"8","ui\features\document\AttachmentCard.kt"
"1","ui\features\auth\AuthState.kt"
"1","data\local\db\DownloadDatabase.kt"
"1","data\local\db\Converters.kt"
"1","data\local\entity\DownloadEntities.kt"
"1","core\util\DownloadHelper.kt"
"1","data\local\dao\DownloadDao.kt"
"1","ui\features\auth\SplashScreen.kt"
